"paperID","title","year","abstract","link"
"b5c2bbed8851021ed7e0e911bb2c26880a29413e","Cancer treatment and survivorship statistics, 2022","2022","The number of cancer survivors continues to increase in the United States due to the growth and aging of the population as well as advances in early detection and treatment. To assist the public health community in better serving these individuals, the American Cancer Society and the National Cancer Institute collaborate triennially to estimate cancer prevalence in the United States using incidence and survival data from the Surveillance, Epidemiology, and End Results cancer registries, vital statistics from the Centers for Disease Control and Prevention’s National Center for Health Statistics, and population projections from the US Census Bureau. Current treatment patterns based on information in the National Cancer Database are presented for the most prevalent cancer types by race, and cancer‐related and treatment‐related side‐effects are also briefly described. More than 18 million Americans (8.3 million males and 9.7 million females) with a history of cancer were alive on January 1, 2022. The 3 most prevalent cancers are prostate (3,523,230), melanoma of the skin (760,640), and colon and rectum (726,450) among males and breast (4,055,770), uterine corpus (891,560), and thyroid (823,800) among females. More than one‐half (53%) of survivors were diagnosed within the past 10 years, and two‐thirds (67%) were aged 65 years or older. One of the largest racial disparities in treatment is for rectal cancer, for which 41% of Black patients with stage I disease receive proctectomy or proctocolectomy compared to 66% of White patients. Surgical receipt is also substantially lower among Black patients with non‐small cell lung cancer, 49% for stages I‐II and 16% for stage III versus 55% and 22% for White patients, respectively. These treatment disparities are exacerbated by the fact that Black patients continue to be less likely to be diagnosed with stage I disease than White patients for most cancers, with some of the largest disparities for female breast (53% vs 68%) and endometrial (59% vs 73%). Although there are a growing number of tools that can assist patients, caregivers, and clinicians in navigating the various phases of cancer survivorship, further evidence‐based strategies and equitable access to available resources are needed to mitigate disparities for communities of color and optimize care for people with a history of cancer. CA Cancer J Clin. 2022;72:409‐436.","https://onlinelibrary.wiley.com/doi/pdfdirect/10.3322/caac.21731"
"3f605c6036105680645bd28901733afbac9e02cc","Chinese quality control indices for standardized diagnosis and treatment of gastric cancer (2022 edition).","2022","Gastric cancer is one of the most common malignancies of the digestive system, and the number of deaths continues to increase. The standardized management of the diagnosis and treatment of gastric cancer is challenging due to the great differences in the diagnosis and treatment of gastric cancer in different regions. The Gastric Cancer Expert Committee of the National Cancer Quality Control Center (NCQCC) identified a lack of authoritative quality control standards as an opportunity to utilize its multidisciplinary membership to improve the standardized diagnosis and treatment of gastric cancer. The Gastric Cancer Expert Committee of the NCQCC aims to promote quality control and national standardization, uniformity, and normalization of gastric cancer diagnosis and treatment, which ultimately improved the survival rate and quality of life of gastric cancer patients. A panel of experts with gastrointestinal cancer surgery, gastrointestinal cancer medicine, medical imaging, pathology and radiotherapy were drawn together and determined the quality control standards for the standardized diagnosis and treatment of gastric cancer. The authors then utilized a modified Delphi approach to generate consensus recommendations.","https://doi.org/10.21147/j.issn.1000-9604.2022.06.10"
"067bf9b20cb60b6007df316089ac8c20e2efc24e","AGO Recommendations for the Diagnosis and Treatment of Patients with Early Breast Cancer: Update 2022","2022","Introduction: The AGO (Arbeitsgemeinschaft Gynäkologische Onkologie, German Gynecological Oncology Group) Task Force on Diagnosis and Treatment of Breast Cancer as an interdisciplinary team consists of specialists from gynecological oncology, pathology, diagnostic radiology, medical oncology, and radiation oncology with a special focus on breast cancer. Methods: The updated evidence-based treatment recommendation 2022 for early breast cancer (EBC) and metastatic breast cancer of the AGO Task Force has been released. Results and Conclusion: This paper captures the update of EBC.","https://www.karger.com/Article/Pdf/524879"
"f8288d608e6e48b736a65202371a0e472dd797b4","Direct oral anticoagulant versus low molecular weight heparin for the treatment of cancer-associated venous thromboembolism: 2022 updated systematic review and meta-analysis of randomized controlled trials","2022","International clinical practice guidelines have progressively endorsed direct oral anticoagulants (DOACs) as an alternative to low-molecular-weight heparins (LMWHs) monotherapy for the initial and long-term treatment of cancer-associated thrombosis (CAT). Several new randomized controlled trials (RCTs) have recently reported additional results on the safety and efficacy of DOACs in this setting. We performed an updated meta-analysis of all publicly available data from RCTs comparing DOACs with LMWHs for the treatment of CAT. Six RCTs enrolling 3690 patients with CAT were included. Compared with LMWHs, DOACs significantly decreased the risk of CAT recurrence (RR, 0.67; 95%CI, 0.52–0.85), with a non-significant increase in the risk of major bleeding (RR, 1.17; 95%CI, 0.82–1.67), a significant increase in the risk of clinically relevant nonmajor bleeding (RR 1.66; 95%CI, 1.31–2.09) and no difference in all-cause mortality rates. These results increase the level of certainty of available evidence supporting the use of DOACs as an effective and safe option for the treatment of CAT in selected cancer patients.","https://jhoonline.biomedcentral.com/track/pdf/10.1186/s13045-022-01289-1"
"725c6a91d5e3684a387bddce75953461782fa224","AGO Recommendations for the Diagnosis and Treatment of Patients with Locally Advanced and Metastatic Breast Cancer: Update 2022","2022","The Breast Committee of the Arbeitsgemeinschaft Gynäkologische Onkologie (German Gynecological Oncology Group, AGO) presents the 2022 update of the evidence-based recommendations for the diagnosis and treatment of patients with locally advanced and metastatic breast cancer.","https://www.karger.com/Article/Pdf/524789"
"f7c55637df41df9a5e4eb6f464f0a4f6afef4957","Evolving Paradigms in the Systemic Treatment of Advanced Gallbladder Cancer: Updates in Year 2022","2022","Simple Summary Gallbladder cancer is distinct type of biliart tract cancer that is rare, aggressive and with limited treatment options aside from surgical resection. As of now in year 2022, systemic chemotherapy remains as the mainstay treatment option for patients with advanced staged gallbladder cancer. Despite decades of scientific research, new treatment options have been struggling to succeed. Furthermore, almost all clinical studies on gallbladder cancer have included other tyes of biliary tract cancers, raising the need to specifically inspect the outcomes of these clinical trial regimens on gallbladder cancer. In this article, we summarized all seminal literature and the most recent advances in scientific discoveries and clinical trials on gallbladder cancer. We provide a succinct update on current understanding, treatment landscape and therapeutic challenges in gallbladder cancer, as well as future prospects in the management of this disease. Abstract Gallbladder cancer (GBC) is a biological, anatomical, and clinically distinct subset of biliary tract cancers (BTC), which also include extra- and intra-hepatic cholangiocarcinoma. The advent of next-generation sequencing (NGS) clearly shows that GBC is genetically different from cholangiocarcinoma. Although GBC is a relatively rare cancer, it is highly aggressive and carries a grave prognosis. To date, complete surgical resection remains the only path for cure but is limited to patients with early-stage disease. The majority of the patients are diagnosed at an advanced, inoperable stage when systemic treatment is administered as an attempt to enable surgery or for palliation. Gemcitabine and platinum-based chemotherapies have been the main treatment modality for unresectable, locally advanced, and metastatic gallbladder cancer. However, over the past decade, the treatment paradigm has evolved. These include the introduction of newer chemotherapeutic strategies after progression on frontline chemotherapy, incorporation of targeted therapeutics towards driver mutations of genes including HER2, FGFR, BRAF, as well as approaches to unleash host anti-tumor immunity using immune checkpoint inhibitors. Notably, due to the rarity of BTC in general, most clinical trials included both GBC and cholangiocarcinomas. Here, we provide a review on the pathogenesis of GBC, past and current systemic treatment options focusing specifically on GBC, clinical trials tailored towards its genetic mutations, and emerging treatment strategies based on promising recent clinical studies.","https://www.mdpi.com/2072-6694/14/5/1249/pdf?version=1646103968"
"21452e310748449cb8f6628d302c9172dbfe14c0","Polish Consensus on Gastric Cancer Diagnosis and Treatment - Update 2022.","2022","This document - ""Polish Consensus on Gastric Cancer Diagnosis and Treatment - Update 2022"" - represents an expert consensus following a year's worth of dedicated effort by a team of specialists throughout 2021, put forward in a conference in December 2021 in Krakow, and finalized below for publication in 2022. The effective date of this document is June 14th 2022. The work that went into updating this consensus was made under auspices of the Polish Society of Surgical Oncology and the Association of Polish Surgeons.","http://ruj.uj.edu.pl/bitstreams/e9514133-b6af-4b59-a41f-32133d6a5699/download"
"809f7ea681e911116fce07d301443c57f14d72bd","Eurasian clinical guidelines for cardiovascular complications of cancer treatments: diagnosis, prevention and treatment (2022)","2022","Disclaimer. The EAC Guidelines represent the views of the EAC, and were produced after careful consideration of the scientific and medical knowledge, and the evidence available at the time of their publication. The EAC is not responsible in the event of any contradiction, discrepancy, and/or ambiguity between the EAC Guidelines and any other official recommendations or guidelines issued by the relevant public health authorities, in particular in relation to good use of healthcare or therapeutic strategies. Health professionals are encouraged to take the EAC Guidelines fully into account when exercising their clinical judgment, as well as in the determination and the implementation of preventive, diagnostic, or therapeutic medical strategies; however, the EAC Guidelines do not override, in any way whatsoever, the individual responsibility of health professionals to make appropriate and accurate decisions in consideration of each patient’s health condition and in consultation with that patient and, where appropriate and/or necessary, the patient’s caregiver. Nor do the EAC Guidelines exempt health professionals from taking into full and careful consideration the relevant official updated recommendations or guidelines issued by the competent public health authorities, in order to manage each patient’s case in light of the scientifically accepted data pursuant to their respective ethical and professional obligations. It is also the health professional’s responsibility to verify the applicable rules and regulations relating to drugs and medical devices at the time of prescription.","https://www.heartj.asia/jour/article/download/6303/6260"
"cb6e82bb000653154aa03fda3703b11f768cff8a","Australian fertility preservation guidelines for people with cancer 2022: review and recommendations","2022","Fertility preservation is a rapidly advancing field, and new strategies are continuously being developed and refined.1 These strategies include oocyte and embryo cryopreservation, ovarian tissue cryopreservation and subsequent autografting for females, and sperm cryopreservation and testicular biopsy for males. Fertility preservation treatment is often urgent to prevent a delay in commencing cancer treatments. It requires effective communication and referral pathways between multidisciplinary teams, so that provision of fertility preservation care can be delivered consistently.1","https://onlinelibrary.wiley.com/doi/pdfdirect/10.5694/mja2.51751"
"6e6af8e95a2c17973d062920e59b2d25a6656595","Update Breast Cancer 2022 Part 4 – Advanced-Stage Breast Cancer","2022","Abstract For the treatment of patients with advanced HER2-negative hormone receptor-positive breast cancer, several substances have been introduced into practice in recent years. In addition, other drugs are under development. A number of studies have been published over the past year which have shown either an advantage for progression-free survival or for overall survival. This review summarizes the latest results, which have been published at current congresses or in specialist journals, and classifies them in the clinical treatment context. In particular, the importance of therapy with CDK4/6 inhibitors – trastuzumab deruxtecan, sacituzumab govitecan and capivasertib – is discussed. For trastuzumab deruxtecan, an overall survival benefit in HER2-negative breast cancer with low HER2 expression (HER2-low expression) was reported in the Destiny-Breast-04 study. Similarly, there was an overall survival benefit in the FAKTION study with capivasertib. The lack of overall survival benefit for palbociclib in the first line of therapy raises the question of clinical classification. Zusammenfassung Für die Behandlung von Patientinnen mit fortgeschrittenem HER2-negativem, hormonrezeptorpositivem Mammakarzinom sind in den letzten Jahren einige Substanzen in die Praxis eingeführt worden. Zusätzlich sind weitere Medikamente in der Entwicklung. Im letzten Jahr sind einige Studien veröffentlicht worden, die entweder einen Vorteil für das progressions-freie Überleben oder aber auch für das Gesamtüberleben gezeigt haben. Diese Übersichtsarbeit fasst die neuesten Ergebnisse, welche auf aktuellen Kongressen oder in Fachzeitschriften veröffentlicht wurden, zusammen und ordnet sie in den klinischen Behandlungskontext ein. Insbesondere wird auf den Stellenwert einer Therapie mit CDK4/6 Inhibitoren, Trastuzumab-Deruxtecan, Sacituzumab-Govitecan und Capivasertib eingegangen. Für Trastuzumab-Deruxtecan wurde in der Destiny-Breast-04-Studie ein Gesamtüberlebensvorteil bei HER2-negativem Mammakarzinom mit einer niedrigen HER2-Expression (HER2-low expression) berichtet. Ebenso konnte ein Gesamtüberlebensvorteil in der FAKTION-Studie mit Capivasertib verzeichnet werden. Nach dem fehlenden Gesamtüberlebensvorteil für Palbociclib in der 1. Therapielinie stellt sich hier die Frage nach der klinischen Einordnung.","http://www.thieme-connect.de/products/ejournals/pdf/10.1055/a-1912-7362.pdf"
